INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id
Mingna and Vipinn have a wonderful family reunion on the island of Cochin. The reunion has a positive outcome but Vipi, who was feeling down and depressed, falls in love with an old acquaintance of his, Vipul Kumar. Vipim and Minga's happiness is short lived when the news comes in that the island is being attacked by the evil spirit.	Vipin and Minga have been a happy married couple, with four daughters – Kalki, Laxmi, Manju and Parvati. However, the marriage was a failure and they were divorced. The two have been struggling for the past three years, trying to find a new life together. Their lives were filled with difficulties and they didn't have any money. However in 2013, Vip in Kerala was hired as a labourer by the B.T. T. Co.	What is that place on the horizon? It's the End of the World.	In the end the couple is happy but they are struggling with the money. Vip and Ming have been staying at a hostel in Chennai and are planning a trip to Mumbai in July.	nsp	ppl	27
In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, the three of them had a very good chat. And there was a tear. Then, they went on their way. The whole night was a real party.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	nsp	ppl	28
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	It was a bit like The Sound of Music in space!	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	nsp	ppl	29
The White Queen has a bad night of sleep. She wakes up to find her father dead, his son William murdered, and her mother missing. A small town in Ireland has been gripped by a mysterious crime. When a small boy named Harry arrives in the town with a mysterious gift, the townspeople immediately turn on the hero. But before the heroes can get to the bottom of the case, the townsfolk are all murdered in cold blood by someone.	He's a boy. It's not his fault. The Boy is a boy of the countryside who lives with his mother, his sister, and his pet pig. One night, William comes home, but the house is empty. He walks outside and sees the Queen. She's dressed in the royal regalia and she's wearing a mask. She asks the boy to find out who is in the house. The Boy runs upstairs to look under his bed.	They were murdered. By the White Queen. The most monstrous and powerful of all witches.	In the end, the boy discovers that the Queen is actually the Devil.	nsp	ppl	30
Batman and Linda are enjoying a weekend away from the police department when something awakens in them. They suddenly see a dark, menacing, monstrous presence creeping across their home, and the terror deepens when it appears to be stalking them. It is a figure from the darkness in the woods that was stalking Batman's parents in the 1940s, but this is an entirely different creature.	"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them."	They walked toward the house. The figure loomed over them. Linda heard him growl.	The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting.	nsp	ppl	31
Praveen was an average college student in Kerala. He worked as a barber, but had no dreams of going to college. One day, he was walking in a forest when he saw a giant snake that looked like a real life dinosaur. This monster was known as Durga. It looked exactly like a cartoon version of the dinosaur, but Durga also possessed the ability to change its shape. Durga took Praveena on its journey.	The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga.	Praveena became the first Indian man to become a professional photographer.	Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	nsp	ppl	32
The pair were in Rome, the capital of the ancient world, a few years after John's disappearance. Viridilla, who had come to visit him, was visiting Rome to attend the celebration of his mother's birthday. They were both having a good time, until they were approached by the Roman senate, who asked them to investigate the disappearance of a senator named John, a fellow Roman of mixed heritage, and a man who had been considered a hero throughout the Empire.	The two women who run the bar where John works for Viridian are on an evening trip to a bar on the outskirts of Rome and are enjoying themselves with a group of strangers. The group has two bartenders and they're a little tipsy as they wait for the bar to open. Viridia is sitting on the edge of the bar and John is seated in a corner by himself. Viridia and one of her friends start flirting with him.	He vanished while walking from the Senate to the Temple of Mars, the city's sacred place for the dead. Viridi and John have two children, but their marriage is never consummated; it is a common practice.	The bartender, who was a friend of Viridia's, had to get out of the way of a drunken patron.	nsp	ppl	33
"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut.	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	nsp	ppl	34
The year is 2020, and Karl, the son of an noble family who became a vagabond, and Catherine, a girl who has lost all hope of a normal life, are the only people in the world. Karl finds himself in a world where the world has become a dark, mysterious and dangerous place.	"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community."	What if the protagonist had never found his parents and had been killed at birth?	Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime.	nsp	ppl	35
It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	The two young women had just finished working at the local factory and were walking back to their respective homes, when they were approached by a strange man named Joe. He asked for Rochelle, and she obliged him by walking up to the car to be driven away by the man. The two women arrived home to find their house locked and an intruder in the house. Rochelle and Joe ran outside and discovered that the intruder was Joe. They began fighting until the police arrived and shot Joe.	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	Rochelle and her mother arrived back at their home and discovered her mother had been shot to death and that her father had been killed. The family was very upset.	nsp	ppl	36
It all began with the idea that Michael and his friend Maeve need more friends. Michael's grandfather had recently passed away and he needed to find a friend to fill the void. Unfortunately Michael's old friend Maevis is the type who doesn't get along with others and she won't even go with Michael to school. Maevis has been in the past when Michael had needed someone to go with. But that wasn't the worst of it because Maevis also doesn't have a boyfriend.	Michael Michael's parents have been missing for years, and when Michael hears a rumor about an old friend, he decides to go look for him. He soon meets Maeve, a beautiful girl who reminds him of his mother. A little misunderstanding soon leads to a huge misunderstanding. Michael Michael learns that the whole world needs more heroes, and he decides that he has a lot of them. But he can't stop fighting for them.	Michael and Maeve became best friends, and the rest of their lives were filled with friendship and love.	A man can be so strong that when he gets hit, it hurts more than the blow himself took.	ppl	nsp	37
"John and Anna are friends, and John has a good job with a prestigious corporation. Anna wants to go to Harvard University to be a lawyer, but she has a problem, she needs to go on dates. ""It is a typical day for them. After work, they walk on a busy street to the train station and spend the next few hours waiting in a packed train for a date. However, on that day John realizes that he is in love with Anna. He asks her out."	When the U.S. government decides to make John Smith the first human to walk on Mars, John Smith finds out that he has to be an extraordinary man and god. It begins with John, an American, and Anna, a Canadian, living in New Orleans. John is working for a Canadian-owned mining company, which has an office in New City, the heart of the old New Orleans, and is planning to relocate to Mars to mine a rare earth element.	He's a romantic. So what if he can't kiss her back.	John Smith, the first man to walk upon the surface of Mars, and his family, move to a small town in Canada to live with their new neighbors.	nsp	ppl	38
A small child in North who has an imaginary friend that she plays with, Polly, begins to tell her parents about her new friend's past. Polly's father and her mother become worried about her imaginary friend, and decide to call the police to have Polly take her to a therapist. They call the therapist to help them and Polly becomes upset that her imaginary friends have been taken away from her.	It is a bright, sunny morning as Polly, Javale, and the other North Park High School girls go to school. They see their best friend, Jenna, who is also in their class, as she sits in the library. The girls notice that her eyes are puffy and she has a red mark on her forehead and she's wearing a bandanna over her face. Then they see the new student, Molly, sitting alone in the cafeteria.	In the end, Polly is reunited with her friend and the therapist.	And Polly ran after Molly, but she didn't make it very far, because Molly had been attacked by a vampire.	ppl	nsp	39
Michael and Jane were living together on an alien world when they were captured by a race of giant green aliens called the B.R.G.S. They have been living with them for a long time but have never seen them before. After some time they had grown quite fond of the BRSG but were soon attacked by their leader, The Green-Eyed Monster (GEM). They were able to save each other.	Michael Michael's parents have been missing for two years. His sister Jane, who lives with her parents, was murdered when she was twelve years old. She was found in a wooded area and badly beaten. Her parents have not been heard from since. When Michael Michael was twelve, his father, Michael, got himself arrested for murder. Two years later, the police discovered that he had been using Michael Michael as a living breathing test subject for his experiments.	Michael and Jane are alive, and their marriage is on the rocks. Their marriage is still intact, but not happy.	A man is about to go on trial for a crime he didn't commit.	nsp	ppl	40
A young girl in the year 2030 wakes up one morning to find herself transported to the year 1985. When she gets to the present day she meets William John, a man who claims to be a vampire. William John offers her the chance to join him on a journey into a world of crime. The young girl, Eileen, joins William John's quest to become a vampire hunter and learns about life in a world where humans are considered the only thing to fear.	A young girl in the year 2030 wakes up one morning to find herself transported to the year 1985. When she gets to the present day she meets William John, a man who claims to be a vampire. William John offers her the chance to join him on a journey into a world of crime. The young girl, Eileen, joins William John's quest to become a vampire hunter and learns about life in a world where humans are considered the only thing to fear.	Eileen became a vampire, which was a step down for her. It meant she had to work for money, and she had no time to think about what her life would be like if she didn't become one.	A few years into her career, Eerie got a call from an old friend, one of her early heroes.	ppl	nsp	41
Sheltering in a cabin outside South Sudan, Mason Davis, the son of a warlord, and his friend Zelena, an orphan, begin their relationship when she shows interest in his father's prized possession. He begins to doubt his own innocence and their romance begins to blossom. It is an unexpected romance—even for Mason Davis—but one they share. Their love is bound by fate—the fate of the universe. But fate also changes that destiny. It changes Mason's.	The world of South Sudan is a place of war and genocide. The world of The Walking Dead is a land where the living are not safe and the dead come back to life. Mason Davis is the only man who can find out how all these events will affect his life and his future. And when he finds out, the Walking Dead will change. What follows is a tale of a man, his family and their quest to survive in the post-apocalyptic world of a zombie apocalypse.	The universe is on the brink of change. The universe is changing. It was inevitable, and it will continue to change.	The end was not about the zombie virus, but how much a man loved those around him and how he could not be replaced.	ppl	nsp	42
"They walked along the edge of a beach. The sea was dark. The sky was a cloudless blue. John's face was a mask of pain. He held up his hands in a gesture of surrender, and Maggie tried to talk. Her voice cracked with fear, but she kept trying to make sense of what they'd encountered and how they'd managed to reach the sand. ""Maggie was quiet, not a word spoken."	After a year of living in the bay area, Maggie has moved back to her childhood home and John Smith has moved to the city to work. After an accident at work John goes missing and Maggie, who is a young artist, becomes obsessed with finding him. While John's friends attempt to help Maggie, John becomes increasingly worried about her. As John gets more and more distant, Maggie's art gets more advanced. Maggie has begun to draw pictures that are more and less like pictures.	They found an old car buried beneath the sand, abandoned by a young man, and he had taken Maggie's hand and was driving her away. He was driving into the sea, and they could not see him from the beach.	After a year, Maggie and John get married, and Maggie starts to paint again. John realizes that what he loves most about her is her mind and his ability to see the world differently.	nsp	ppl	43
The first year of Bella C's life, John Smith lived with his mother in the tiny town of North Pole, Alaska. Bella's parents, a widowed couple, had separated a few years earlier, and it seemed as if the relationship was destined for divorce. The years passed by in a haze of alcohol abuse and an addiction to painkillers. Bella, her mother, and her brother, Alex, moved out of the house, which Bella shared with a friend of hers.	In the middle of a storm, a young man and a woman meet in a bar. The woman introduces herself as Bella C, a woman who has a knack for making people forget about their troubles. She introduces John Smith, who is an ordinary college student with an interest in the occult. When John is confronted with a terrifying experience and begins to realize that Bella is not who she says she is, their connection grows stronger.	When Bella moved into her new house, she was excited and anxious for a fresh start. But when her mother moved into a smaller apartment nearby, her hope for a new start was dashed.	When it was time to die, he could not move, couldn't breathe, couldn�t move at all. But Bella was there, in his heart. She was the light, the truth, the reason for his being.	ppl	nsp	44
John Smith Jr is a small town boy who is trying to figure out a place for himself. He is the youngest son of an abusive alcoholic who is in his early 20s. John Smith Jr spends most of his time with his mother who is his step-father's sister. John spends his time playing in the woods with his dog. While in the town, he meets Tasha. Tasha is his cousin's daughter who is the oldest child in the house.	"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	They said the only way they could be together was to kill themselves, but Tasha said she couldn't, because she had no place to go.	The little boy is gone. He's never coming back.	ppl	nsp	45
The first day of the New Year, Evelyn woke up in her bedroom and saw that her husband, Peter Hagan, had gone out with a woman. It was the first time in their two-year marriage that Evelyn had been out with anyone but her husband. The last time was the day she gave birth to their baby, the last time she had been alone with her thoughts, but that day, everything had changed.	"In the first season of the television series, a young man named Peter Hagan is chosen as the new pilot for the legendary Dangerous Space Station"" and is forced to live on board the ship for a year as a security guard. The show's most popular character is its captain, Evelyn, a blonde, red-eyed woman with green eyes and short hair."	It was the last thing she wanted to do. She hated her job. She couldn't stand it. It had to end, but she couldn't think of a way to do it.	When the ship takes a hit, it's not just Peter. All the people aboard are killed.	ppl	nsp	46
A young woman in Ireland, Joe, has been invited to attend a party in London. It's an adventure she doesn't want to miss. Joe, with her best friend Sarah, have never been to London before. They arrive on the last day of her summer holiday, and the party is going well until they discover that it's in London, and is only a few days away.	The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	The party is all set but the party's not over.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	nsp	ppl	47
It was a warm July day in Lisbon. Luiz and Jose Gomes were visiting with a friend. Luís was wearing a green, tight-fitting shirt and a tie and was holding a beer in his left hand. Jose wore a green shirt and jeans. He was carrying a small brown leather-bound book.	The Gomes boys were raised in poverty by their parents on the streets of Lisbon. They moved to a small village in southern Portugal and became the youngest athletes in the country. Luiz, the oldest, played soccer for the national team. Jose, the youngest, was a talented baseball player. Their parents were both teachers, so they were taught the value of hard work, and the importance of teaching each other.	This was one of the best stories ever told. It was full of wonder and hope and a great deal of humanity. There was so much that was important in there. And it just ended.	The Gomes brothers went on to dominate the soccer field as the best soccer players in Portugal for years to come.	nsp	ppl	48
A young girl is left in the care of an elderly woman after her mother is unable to care for her. While visiting her in her home, George and Penny learn that the woman is not well and is bedridden. However, when George and the woman begin to talk, they are surprised to realize they share a connection and have much in common. It is only a matter of time before George discovers that Penny shares the same thoughts, feelings, and dreams as the woman.	In the summer of 1889, the small town of Washoe was the perfect place to raise a family. George W., a boy of fourteen, and Penny, a girl of sixteen, moved in, and the Wilson's began to plan a wonderful life together. Penny and George W.'s lives changed forever in June 1890. George had recently turned eighteen and, in accordance with the laws of his state of Idaho, he could legally marry his sweetheart Penny.	And if that is the case, it was a miracle.	Penny's family, however, didn't approve. They believed that George should wait to marry until he was at least twenty-five years old.	nsp	ppl	49
