INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:worker_id	ASSIGNMENT:started
Jack and Dora Green, the daughter of a major newspaper publisher, live in the Gotham Mansion, the home of Jack's business partner, Doree Green, and the mother of their three-year old daughter, Dora. Their home is a large home with a large lawn. A large stone sculpture of a man stands at the front of the front door, which is marked with a red paint that is difficult to remove without destroying the painting.	Jack Ryan was a detective for the Gotham City Police Department who specialized in counter-terrorism and intelligence work. Doree Green was a journalist who specialized on terrorism, and was a regular contributor to Gothamist. Dormammu was a powerful villain with a reputation that reached far into the Gotham underground. Jack began investigating Dormalm and the mysterious Ornaments of Death.	It was a beautiful day, sunny and warm. The grass was green and lush. The air was clear, and crisp. It was the perfect summer day.	And then there was a loud thud, like the sound of an iron fist smashing into concrete, and then the sky was a blood red.	ppl	random	1	1				5d67e00e-a4a0-400b-9761-817d952f4bcc	09972a525822676dca9011346aa4af26	2022-03-05T03:02:18.491
In the early 1990s, Cheryl and John found themselves moving into a house owned by their old college friend, Alameda resident John. On their very first evening, their new housemates made an unannounced visit to the front door, where they found John's former housemate, a young woman, asleep on the sofa. The housemates were surprised by the presence of another housemate on the living room couch. That housemate had been the subject of several earlier incidents.	On a day like any other, John and Ciaran went to the store to pick up supplies for their upcoming visit to the house. Ciarán was excited about getting his haircut and John, who was in the shower, had just gotten out of the shower. They got back to the apartment, where Cheryl was still changing her clothes. John asked for a drink of water, and Cian said that he wanted to shower with John first.	A new kind of loneliness has fallen over us, the kind that is a thousand years old.	They both went into the shower together. The water was lukewarm and Crian could feel his skin starting to warm.	random	nsp	2	2				d5619272-f427-4955-9e20-6617eb0122b1	c8e04c4fac6115fa8a9d550c34f07ad0	2022-03-05T03:02:20.269
A young woman in Ireland, Joe, has been invited to attend a party in London. It's an adventure she doesn't want to miss. Joe, with her best friend Sarah, have never been to London before. They arrive on the last day of her summer holiday, and the party is going well until they discover that it's in London, and is only a few days away.	The city was built centuries ago to contain a god, but after the god was killed by an evil wizard, the city is now a desolate wasteland, waiting for the next god to be summoned. The wizard is still around, and now he has sent a young girl, Sarah, to Ireland to retrieve her dead god's remains. Joe is not happy about the plan.	The party is all set but the party's not over.	In the end, Joe is convinced that the only way to defeat the evil wizard is to become the new god.	nsp	ppl	47	2				7a651306-4cef-4af6-b41e-e012349e8c7d	09972a525822676dca9011346aa4af26	2022-03-05T03:02:32.514
When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	It was a beautiful day. Adolf Hitler was having a picnic with his favorite granddaughter, Nestora. The two of them were walking through the woods when they encountered a young woman. The woman was a maid, who was waiting for the master of the house to come out. Adolf, his granddaughter, and the maid walked into a house. The house belonged to a wealthy merchant. When Adolf and Nestor went into the kitchen, they saw a woman cooking dinner.	After a few more seconds, he was no more.	At the dinner table, Adolf looked up at the ceiling. He turned and saw the dark face of his granddaughter. He was horrified. He ran out of the room and locked the door.	random	ppl	14	2				b8a55781-f232-4923-82b3-11dde278a755	a1aaa6742c611a88096a5a9def225538	2022-03-05T03:02:34.871
The city of Fulford, located on the border of the forest and the lake, was built for a god who had died a long time ago. He is said to have been the father of the earth, the king of the gods, and the god of the sea. His city was built to hold his spirit. (Prelude) Tom and his sister Dee are playing in the snow when they see a giant shadow falling from the sky.	The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time.	There was a shadow falling on the city's roof, a figure that seemed to grow in size, moving at the speed of a bullet.	Dee and Tom are in the middle of a battle to save their home, their family, their town and themselves.	nsp	ppl	16	2				bb41bf60-9494-4ee8-8374-7f86b1ef3a61	8c623f044db5d2702e2df54826bca331	2022-03-05T03:02:35.384
David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	The two friends were walking down the beach when David asked Gina if she'd like to go back to the restaurant he was having. After she said yes, she thought he was joking. He said he'd buy her a drink and a kiss. After leaving the restaurant, David and Gina got into an argument and David left her at the beach. When Gina came back, he was waiting for her at her car. She opened the door and David shoved her out and ran off.	The last time she saw him, he had a deep gash on the side of his head that looked like a gunshot wound.	In the end, David's actions leave her stranded and alone.	ppl	random	17	1				c4c85c32-8b84-4d29-b5ea-1eb29d2d5393	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T03:02:42.370
Michael and Jane were living together on an alien world when they were captured by a race of giant green aliens called the B.R.G.S. They have been living with them for a long time but have never seen them before. After some time they had grown quite fond of the BRSG but were soon attacked by their leader, The Green-Eyed Monster (GEM). They were able to save each other.	Michael Michael's parents have been missing for two years. His sister Jane, who lives with her parents, was murdered when she was twelve years old. She was found in a wooded area and badly beaten. Her parents have not been heard from since. When Michael Michael was twelve, his father, Michael, got himself arrested for murder. Two years later, the police discovered that he had been using Michael Michael as a living breathing test subject for his experiments.	Michael and Jane are alive, and their marriage is on the rocks. Their marriage is still intact, but not happy.	A man is about to go on trial for a crime he didn't commit.	nsp	ppl	40	1				7e7801a8-7534-4f56-84af-65b220ce4a77	09972a525822676dca9011346aa4af26	2022-03-05T03:02:53.753
A young boy, Tom, and his best friend, Kathy, are on a bus ride to Manhattan to attend a science-fiction convention. But the trip is not without difficulty, because Tom's dog, Paddy, has the power to give out bad vibes. When the bus stops at a deserted park, Tom and Paddy become separated. The boys realize they are the only two people there who are not part of the convention.	It is a typical New York summer with a lot of rain. Tom and his friend Kathy Finkle were walking along a river when they fell into a strange cave. There they met two girls. One of them was a little girl who looked exactly like Tom. When they heard that she was an orphan, Tom and the other boy wanted to adopt her and raise her in their home. They were able to convince Kathy to go with them and so she agreed.	Tom and Kathy's adventures were more exciting than he had imagined!	They never found a place for the little girl, though she was adopted and went to live with them.	random	ppl	19	2				70a48be3-7c47-450a-93a0-c2e27a8afa39	ade066e604e93b213e44e3030eef7f39	2022-03-05T03:02:56.259
The only reason Mark Smith made it through his whole life without killing himself was because he was able to be in two places at the same time. Mark Smith was the last of his kind, the last living survivor of the original colony, the world-famous planet Earth. In his new life, Mark Smith has been living in California. He works in a restaurant, runs a small business and tries to enjoy life.	Mark's sister had died when he was three, so he had always been the head of the family. Now that he is eighteen, he's going to college, working for the school newspaper, and has finally found a girlfriend he can live with. He gets a phone call from his ex-girlfriend, Alicia, who says she has been in an accident, and it's going back to court on the day before the trial.	A year has passed since the events of The Day the Earth Stood Still.	Alicia's accident had the effect of turning Mark into a better person.	ppl	nsp	25	2				ffb308e0-8f31-40a8-8a8e-2c55a30b3d06	8c623f044db5d2702e2df54826bca331	2022-03-05T03:03:06.742
The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The woman he loves is dead. Michael Jackson is dead.	Michael Jackson dies. The house is sold. There is a party.	nsp	random	4	1				341696da-93bf-4d15-be30-987f3bb2ec86	09972a525822676dca9011346aa4af26	2022-03-05T03:03:06.664
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	The time has come. The day of destiny. For Jude and her sister Julia, it is now. Julia, the oldest of their two sisters, is the only one of the three to be born in a stable marriage. A fact that does not sit well with the two. The other two are living happily in the countryside, with their two dogs, and Jude's two sons, both of whom are older than her, but still relatively young.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	She's just going to live in a cabin on the hill and have nothing to do all day but think about the future!	nsp	random	22	2				a2ad262f-e816-4884-b053-a78f51f76148	17ade270184d61a940f7107da74cf70d	2022-03-05T03:03:07.012
John Smith Jr is a small town boy who is trying to figure out a place for himself. He is the youngest son of an abusive alcoholic who is in his early 20s. John Smith Jr spends most of his time with his mother who is his step-father's sister. John spends his time playing in the woods with his dog. While in the town, he meets Tasha. Tasha is his cousin's daughter who is the oldest child in the house.	"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	They said the only way they could be together was to kill themselves, but Tasha said she couldn't, because she had no place to go.	The little boy is gone. He's never coming back.	ppl	nsp	45	1				6e740692-e0d6-42c1-bbfb-de64d89fc57b	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T03:03:08.433
In Rome, Jude and his brother Julia are on a date at the opera. They've just witnessed the spectacular escape of the most notorious criminal in the galaxy. Julia is terrified of him and can't stop worrying about what he might do next. She keeps a journal that she keeps under her bed. Jude, meanwhile, spends most of his time on the internet reading stories about dangerous men.	The time has come. The day of destiny. For Jude and her sister Julia, it is now. Julia, the oldest of their two sisters, is the only one of the three to be born in a stable marriage. A fact that does not sit well with the two. The other two are living happily in the countryside, with their two dogs, and Jude's two sons, both of whom are older than her, but still relatively young.	In the end, the man who killed Rome was the man he'd spent most of the night looking at porn.	She's just going to live in a cabin on the hill and have nothing to do all day but think about the future!	nsp	random	22	1				a2ad262f-e816-4884-b053-a78f51f76148	09972a525822676dca9011346aa4af26	2022-03-05T03:03:16.922
It was an ordinary Saturday morning, and William Trelawney was walking down the street, his hair a mess, his clothes worn out. He was not the only one that day. A few hundred feet away, Polly was working her way through her chores. It was her day off, she said, but she had been in her car all morning. She had taken the long way home from work and her mother had made a special trip to pick her up.	"In the early 1930s, William T.Treadwell had been a successful attorney in Farragut. But when the economy collapsed, he lost his job. When he became homeless, he met Polly, a beautiful, intelligent woman he had met in a bar. Soon, they found themselves on the same boat, the Oddy Lady."" They sailed out to California, where he worked as a lawyer and she worked as an actress."	She had a lovely little boy. He died.	He fell in love with her. She wanted to marry him. But he said no. They lived together. He was still a lawyer. She was still an actress.	nsp	ppl	20	2				6f555222-df71-4350-a7aa-f65270b4a061	8c623f044db5d2702e2df54826bca331	2022-03-05T03:03:32.946
They have been together for thirty years and their only daughter Catherine, who is a member of the Order of the Coiled Hares, has been with them every night and every day. They have a young son named William. Catherine is a witch who has the power to see the future and foretell the future. At night she speaks to William and gives him instructions. In the morning they can only say one thing. 'They must go to Bristol in the next few days.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the afternoon, the housewife woke up, her hair mussed and face a little pale, and a hand holding a small bundle in her lap.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	nsp	ppl	15	1				b83bb36d-8f25-4ca1-96e4-d9952fb177d7	09972a525822676dca9011346aa4af26	2022-03-05T03:03:39.886
The man with no name is known as Michael Jackson. His name was unknown before he met a girl in a nightclub. The girl has the ability to change her body's physical appearance. The man, on the other hand, cannot change his body's appearance. He becomes interested in the body of the girl in question after he sees her in a club, and he becomes obsessed with it.	A woman who has been a widow for twenty years is in the midst of a painful divorce when she learns that the man who once owned her home has died. The man who owned the home is Michael Jackson. This makes Michael Jackson the most desirable woman in the world. The woman, with the help of her two friends, decide to take Michael Jackson to the hospital.	The woman he loves is dead. Michael Jackson is dead.	Michael Jackson dies. The house is sold. There is a party.	nsp	random	4	1				341696da-93bf-4d15-be30-987f3bb2ec86	ade066e604e93b213e44e3030eef7f39	2022-03-05T03:03:48.833
It is late at night, and Mark and Nannette have a long conversation over drinks in a San Francisco bar. A woman sits at the bar next to Mark and the two talk, but there is no kiss. The two get up and leave. Nanette gets a taxi and leaves, and a short time later a group of people come into the bar and start making out. Mark and his friend stop the taxi and get out.	In California, when Mark Pritchard and Nanelle Dyer meet with a local psychic, Nanette reveals that her daughter, Nanita, is missing. Mark and Nanetta travel to the area where Nanita's car was abandoned and Mark finds her, but Nanette appears to be in pain and is bleeding to death. Mark begins to search for Nanita but finds nothing. In his attempt to help Nanette, Mark is attacked by an unseen assailant and is left for dead.	She kissed him. He went to her room and she had sex.	In a world where anything is possible, what is impossible?	random	nsp	13	1				3653ffd3-66cd-4bca-84be-e0e6d3756241	09972a525822676dca9011346aa4af26	2022-03-05T03:03:57.623
The year is 2020, and Karl, the son of an noble family who became a vagabond, and Catherine, a girl who has lost all hope of a normal life, are the only people in the world. Karl finds himself in a world where the world has become a dark, mysterious and dangerous place.	"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community."	What if the protagonist had never found his parents and had been killed at birth?	Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime.	nsp	ppl	35	2				c04a011d-6cfd-44d6-a5d2-0132ec7f8697	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T03:04:00.961
John Smith Jr is a small town boy who is trying to figure out a place for himself. He is the youngest son of an abusive alcoholic who is in his early 20s. John Smith Jr spends most of his time with his mother who is his step-father's sister. John spends his time playing in the woods with his dog. While in the town, he meets Tasha. Tasha is his cousin's daughter who is the oldest child in the house.	"Tasha was a single mom, trying to support the family of a small child, John Smith Jr. John was the only boy her daughter was ever happy to have around. Tasha would give John anything he wanted and if he said no"" he'd be sad and then she'd find another toy to play with. Tanya had been away on vacation when John and Taddy were born."	They said the only way they could be together was to kill themselves, but Tasha said she couldn't, because she had no place to go.	The little boy is gone. He's never coming back.	ppl	nsp	45	2				6e740692-e0d6-42c1-bbfb-de64d89fc57b	09972a525822676dca9011346aa4af26	2022-03-05T03:04:06.693
It is late at night, and Mark and Nannette have a long conversation over drinks in a San Francisco bar. A woman sits at the bar next to Mark and the two talk, but there is no kiss. The two get up and leave. Nanette gets a taxi and leaves, and a short time later a group of people come into the bar and start making out. Mark and his friend stop the taxi and get out.	In California, when Mark Pritchard and Nanelle Dyer meet with a local psychic, Nanette reveals that her daughter, Nanita, is missing. Mark and Nanetta travel to the area where Nanita's car was abandoned and Mark finds her, but Nanette appears to be in pain and is bleeding to death. Mark begins to search for Nanita but finds nothing. In his attempt to help Nanette, Mark is attacked by an unseen assailant and is left for dead.	She kissed him. He went to her room and she had sex.	In a world where anything is possible, what is impossible?	random	nsp	13	2				3653ffd3-66cd-4bca-84be-e0e6d3756241	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T03:04:15.703
A real-time thriller in which a boy, Praveena, and her best friend Durga are abducted by a real life monster, and brought to a remote island. There they must live among a few other survivors, and fight to survive. They are forced to fight back the monster's attacks by learning to fight in real time with their bodies and weapons. The boy and her friend Prahalad are forced into a life of extreme physical and mental challenge by the island's cruel inhabitants.	Praveen was an average college student in Kerala. He worked as a barber, but had no dreams of going to college. One day, he was walking in a forest when he saw a giant snake that looked like a real life dinosaur. This monster was known as Durga. It looked exactly like a cartoon version of the dinosaur, but Durga also possessed the ability to change its shape. Durga took Praveena on its journey.	What will become of her? What will become, of him? They are both trapped with only each other, fighting with one another.	Praveena became the first Indian man to become a professional photographer.	random	nsp	32	2				a434045a-bd43-467b-a602-86953c9841ac	09972a525822676dca9011346aa4af26	2022-03-05T03:04:21.813
When Jose and his wife, Dorothy, were in Lisbon, Portugal, it was a happy time in their lives. They had a great job in a bank, an expensive house, and a beautiful family. They were living the life that every family with a little money could dream of. Jose was working as a high school teacher, and Dorothy was a dental hygienist. When Jose's job ended, he found himself unemployed and without a job.	On the night of June 5th, 1941 Jose and his sister Dorothy were on the way to Lisbon to spend a few days with the family in the house of their friend, João de Jesus Ferreira. After a few hours of sleeping, José suddenly woke up in the middle of the night with a start. He was unable to stand and started crawling towards his mother and sister. His sister, Dorothy, tried to pull him back down to the floor.	The man who has no work is the man who does not work.	After a few more moments of confusion, the two adults found themselves on the floor, both motionless. Jose's body was still motionless and he could not move.	nsp	ppl	8	2				ecb29cea-7f3d-4641-85bc-049701873d69	a1aaa6742c611a88096a5a9def225538	2022-03-05T03:04:26.321
The two young women had just finished working at the local factory and were walking back to their respective homes, when they were approached by a strange man named Joe. He asked for Rochelle, and she obliged him by walking up to the car to be driven away by the man. The two women arrived home to find their house locked and an intruder in the house. Rochelle and Joe ran outside and discovered that the intruder was Joe. They began fighting until the police arrived and shot Joe.	"Joe was supposed to be in Michigan the next day to pick up Rochelle from school. He found that out only after he'd gotten home. The two of them were on the phone together for nearly five minutes when Rochelle's mother interrupted the conversation. The mother told Joe that Rochelle was in school, but she couldn't tell him exactly when. ""Rochelle's father and her older sister went with her to the school."" Joe and Rochel had a good relationship."	Rochelle and her mother arrived back at their home and discovered her mother had been shot to death and that her father had been killed. The family was very upset.	She goes home, and she's all alone.	ppl	random	36	1				f5947cdd-645a-48fc-8642-86dd955d6d36	ade066e604e93b213e44e3030eef7f39	2022-03-05T03:04:33.284
The year is 2020, and Karl, the son of an noble family who became a vagabond, and Catherine, a girl who has lost all hope of a normal life, are the only people in the world. Karl finds himself in a world where the world has become a dark, mysterious and dangerous place.	"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community."	What if the protagonist had never found his parents and had been killed at birth?	Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime.	nsp	ppl	35	1				c04a011d-6cfd-44d6-a5d2-0132ec7f8697	09972a525822676dca9011346aa4af26	2022-03-05T03:04:34.176
It is late at night, and Mark and Nannette have a long conversation over drinks in a San Francisco bar. A woman sits at the bar next to Mark and the two talk, but there is no kiss. The two get up and leave. Nanette gets a taxi and leaves, and a short time later a group of people come into the bar and start making out. Mark and his friend stop the taxi and get out.	In California, when Mark Pritchard and Nanelle Dyer meet with a local psychic, Nanette reveals that her daughter, Nanita, is missing. Mark and Nanetta travel to the area where Nanita's car was abandoned and Mark finds her, but Nanette appears to be in pain and is bleeding to death. Mark begins to search for Nanita but finds nothing. In his attempt to help Nanette, Mark is attacked by an unseen assailant and is left for dead.	She kissed him. He went to her room and she had sex.	In a world where anything is possible, what is impossible?	random	nsp	13	2				3653ffd3-66cd-4bca-84be-e0e6d3756241	8c623f044db5d2702e2df54826bca331	2022-03-05T03:04:38.581
When the SS came to arrest Adolf Hitler in a café in a quiet little town in northern Spain. Nestora, his young wife, took the young children with her. They were her last hope, and she didn't want them to be separated from her. But the SS was determined to arrest him, and they took away her children. She would do whatever she could to protect them.	It was a beautiful day. Adolf Hitler was having a picnic with his favorite granddaughter, Nestora. The two of them were walking through the woods when they encountered a young woman. The woman was a maid, who was waiting for the master of the house to come out. Adolf, his granddaughter, and the maid walked into a house. The house belonged to a wealthy merchant. When Adolf and Nestor went into the kitchen, they saw a woman cooking dinner.	After a few more seconds, he was no more.	At the dinner table, Adolf looked up at the ceiling. He turned and saw the dark face of his granddaughter. He was horrified. He ran out of the room and locked the door.	random	ppl	14	2				b8a55781-f232-4923-82b3-11dde278a755	17ade270184d61a940f7107da74cf70d	2022-03-05T03:04:49.797
They have been together for thirty years and their only daughter Catherine, who is a member of the Order of the Coiled Hares, has been with them every night and every day. They have a young son named William. Catherine is a witch who has the power to see the future and foretell the future. At night she speaks to William and gives him instructions. In the morning they can only say one thing. 'They must go to Bristol in the next few days.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the afternoon, the housewife woke up, her hair mussed and face a little pale, and a hand holding a small bundle in her lap.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	nsp	ppl	15	2				b83bb36d-8f25-4ca1-96e4-d9952fb177d7	0d71dcaa7415070cc3073bbcd05e3240	2022-03-05T03:04:53.474
John Smith was a photographer for the newspaper and an editor at Alameda's daily. One day he saw a car drive by with a dead dog hanging out of the back. The driver said it wasn't his problem, but John thought that he could get some work done with the dog's body in his trunk. He called Maggie, a nurse at a local hospital.	After a year of living in the bay area, Maggie has moved back to her childhood home and John Smith has moved to the city to work. After an accident at work John goes missing and Maggie, who is a young artist, becomes obsessed with finding him. While John's friends attempt to help Maggie, John becomes increasingly worried about her. As John gets more and more distant, Maggie's art gets more advanced. Maggie has begun to draw pictures that are more and less like pictures.	He was just an innocent, and he was taken away from his innocent life and put on a path that changed him.	After a year, Maggie and John get married, and Maggie starts to paint again. John realizes that what he loves most about her is her mind and his ability to see the world differently.	random	ppl	43	1				4b24d9b6-2021-4801-b0aa-82838a051214	09972a525822676dca9011346aa4af26	2022-03-05T03:05:08.300
The crew of the Enterprise, a Federation ship, is en route to a far-flung colony world when a distress call comes in from a group of five people aboard the space vessel. The captain is John H Roberts, a young man with a heart condition, and his first officer is Berta Lang, a woman with a troubled past.	"John H. and Bert are in South Korea, and John thinks they will go to South Sudan to film a show. But before the crew sets sail, John and Bert have a discussion about how John's life is more complicated than he ever thought. They discuss the possibility of life after death, as well as John's relationship with his family. ""The ship has no idea how to communicate, but they manage to get the job done."	It was the end. It was the beginning.	After a lot of hard work, the crew finally sets sail to make good on the promise of the show they have promised themselves they will make.	random	nsp	10	2				641c4b76-bc81-4214-ba63-797e1e4a60fe	8c623f044db5d2702e2df54826bca331	2022-03-05T03:05:19.909
He is a vagabond and a man of the underworld. But his path is set in motion by an enigmatic stranger who offers him a way to be in two places at once. Karl and Catherine are living in a German-like underground city called Wartburg, and it's pretty much all underground. But, when a man named Karl is born in a noble house, he quickly makes friends with the local prostitutes.	"In this world, Karl, a poor man, becomes a vagabond and lives in the subterranean city of the Black Forest. The city is controlled by the Black Prince,"" a ruthless dictator. Karl's main purpose in life is to get to the surface so he can meet a girl named Catherine. As Karl walks the streets, he notices how people are very friendly and have a strong sense of community."	After they found a book about their future and the book had been passed around among them, they decided to stay.	Karl is forced to confront the reality of the world he was born into. As a result, he finds himself in a life-and-death struggle against a despotic regime.	random	ppl	35	2				42a40ba2-7574-440c-b440-6631b31823f9	8e4eb6f01370b0084794766ad8a43198	2022-03-05T03:05:23.011
They have been together for thirty years and their only daughter Catherine, who is a member of the Order of the Coiled Hares, has been with them every night and every day. They have a young son named William. Catherine is a witch who has the power to see the future and foretell the future. At night she speaks to William and gives him instructions. In the morning they can only say one thing. 'They must go to Bristol in the next few days.	In the year 2350 William and his son Catherine, accompanied by their daughter Emily, left their home in Bristol for an expedition to the coast of the United States. When Catherine fell ill with dysentery and William became ill with a case of typhoid fever, the family made a hurried departure, leaving Catherine in charge. After a time they reached a town called Houlton, where William, sickened with dysentary, lost the power of speech and could barely walk.	In the afternoon, the housewife woke up, her hair mussed and face a little pale, and a hand holding a small bundle in her lap.	When they came to the edge of the town, Catherine gave them directions to a house that was on the edge, but she could not speak. They began to walk down the road that led to the town.	nsp	ppl	15	1				b83bb36d-8f25-4ca1-96e4-d9952fb177d7	c8e04c4fac6115fa8a9d550c34f07ad0	2022-03-05T03:05:28.962
Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut.	"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	He got back to New Jersey, but his sister did not.	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	random	nsp	34	1				6dfe3622-11d4-4569-92ab-ed888fe9327b	37ff527f58bc66b135b28b9a643c22f3	2022-03-05T03:05:31.946
The two young women had just finished working at the local factory and were walking back to their respective homes, when they were approached by a strange man named Joe. He asked for Rochelle, and she obliged him by walking up to the car to be driven away by the man. The two women arrived home to find their house locked and an intruder in the house. Rochelle and Joe ran outside and discovered that the intruder was Joe. They began fighting until the police arrived and shot Joe.	"Joe was supposed to be in Michigan the next day to pick up Rochelle from school. He found that out only after he'd gotten home. The two of them were on the phone together for nearly five minutes when Rochelle's mother interrupted the conversation. The mother told Joe that Rochelle was in school, but she couldn't tell him exactly when. ""Rochelle's father and her older sister went with her to the school."" Joe and Rochel had a good relationship."	Rochelle and her mother arrived back at their home and discovered her mother had been shot to death and that her father had been killed. The family was very upset.	She goes home, and she's all alone.	ppl	random	36	2				f5947cdd-645a-48fc-8642-86dd955d6d36	09972a525822676dca9011346aa4af26	2022-03-05T03:05:41.894
When Jose and his wife, Dorothy, were in Lisbon, Portugal, it was a happy time in their lives. They had a great job in a bank, an expensive house, and a beautiful family. They were living the life that every family with a little money could dream of. Jose was working as a high school teacher, and Dorothy was a dental hygienist. When Jose's job ended, he found himself unemployed and without a job.	On the night of June 5th, 1941 Jose and his sister Dorothy were on the way to Lisbon to spend a few days with the family in the house of their friend, João de Jesus Ferreira. After a few hours of sleeping, José suddenly woke up in the middle of the night with a start. He was unable to stand and started crawling towards his mother and sister. His sister, Dorothy, tried to pull him back down to the floor.	The man who has no work is the man who does not work.	After a few more moments of confusion, the two adults found themselves on the floor, both motionless. Jose's body was still motionless and he could not move.	nsp	ppl	8	2				ecb29cea-7f3d-4641-85bc-049701873d69	09972a525822676dca9011346aa4af26	2022-03-05T03:05:56.379
The city of Fulford, located on the border of the forest and the lake, was built for a god who had died a long time ago. He is said to have been the father of the earth, the king of the gods, and the god of the sea. His city was built to hold his spirit. (Prelude) Tom and his sister Dee are playing in the snow when they see a giant shadow falling from the sky.	The people of Fulford are convinced that an ancient city hidden deep beneath their village was built to house a great evil, the spirit from an ancient, evil god. But the people of the town, the townspeople of Fulbury, are not convinced. In fact, the people, the local community, think Tom and his twin brother, Dee, are the cause of all the disappearances and all the problems that have come to Fulbury since the beginning of time.	There was a shadow falling on the city's roof, a figure that seemed to grow in size, moving at the speed of a bullet.	Dee and Tom are in the middle of a battle to save their home, their family, their town and themselves.	nsp	ppl	16	2				bb41bf60-9494-4ee8-8374-7f86b1ef3a61	ade066e604e93b213e44e3030eef7f39	2022-03-05T03:06:02.460
